tempcode,placeid,place23cd,placesort,place23nm,splitind,descnm,ctyhistnm,cty61nm,cty91nm,ctyltnm,ctry23nm,cty23cd,cty23nm,lad61nm,lad61desc,lad91nm,lad91desc,lad23cd,lad23nm,lad23desc,ced23cd,wd23cd,par23cd,hlth23cd,hlth23nm,regd23cd,regd23nm,rgn23cd,rgn23nm,npark23cd,npark23nm,bua22cd,pcon23cd,pcon23nm,eer23cd,eer23nm,pfa23cd,pfa23nm,gridgb1m,gridgb1e,gridgb1n,grid1km,lat,long,origin,reason,confidence
43569,54434,IPN0057158,Portvoller,Port Mholair,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1561960936568.0,156196.0,936568.0,NB5636,58.250021,-6.156838,,,
203,255,IPN0000282,Abernethy,Abernethy,0,LOC,Perthshire,Perth,Tayside,Perth and Kinross,Scotland,,,Perth,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000050,Ochil and South Perthshire,S15000001,Scotland,S23000009,Scotland,3190130716355.0,319013.0,716355.0,NO1916,56.332607,-3.311409,,,
48299,60229,IPN0063217,Shotts,Shotts,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Seventh,LD,Strathclyde,DIST,S12000050,North Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000003,Airdrie and Shotts,S15000001,Scotland,S23000009,Scotland,2873340659895.0,287334.0,659895.0,NS8759,55.819117,-3.799704,,,
56604,70702,IPN0074157,Upperuphall,Upper Uphall,0,LOC,West Lothian,West Lothian,Lothian,West Lothian,Scotland,,,Uphall,LD,Lothian,DIST,S12000040,West Lothian,CA,,,,S08000024,Lothian,,,S99999999,,,,,S14000044,Livingston,S15000001,Scotland,S23000009,Scotland,3059370672239.0,305937.0,672239.0,NT0572,55.933972,-3.507225,,,
6254,8030,IPN0008434,Braelangwell,Braelangwell,0,LOC,Ross-shire,Ross and Cromarty,Highland,Sutherland,Scotland,,,Tain,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000009,"Caithness, Sutherland and Easter Ross",S15000001,Scotland,S23000009,Scotland,2515990892769.0,251599.0,892769.0,NH5192,57.899556,-4.505567,,,
52295,65594,IPN0068895,Swintonmill,Swintonmill,0,LOC,Berwickshire,Berwick,Borders,Berwickshire,Scotland,,,Middle,LD,Borders,DIST,S12000026,Scottish Borders,CA,,,,S08000016,Borders,,,S99999999,,,,,S14000008,"Berwickshire, Roxburgh and Selkirk",S15000001,Scotland,S23000009,Scotland,3814430645864.0,381443.0,645864.0,NT8145,55.705859,-2.296865,,,
45592,56718,IPN0059549,Riof,Riof,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1108460934546.0,110846.0,934546.0,NB1034,58.204496,-6.924193,,,
54141,67893,IPN0071288,Tingwall,Tingwall,0,LOC,Orkney,Orkney,,Orkney,Scotland,,,Mainland,LD,Orkney,IA,S12000023,Orkney Islands,CA,,,,S08000025,Orkney,,,S99999999,,,,,S14000051,Orkney and Shetland,S15000001,Scotland,S23000009,Scotland,3400081022822.0,340008.0,1022822.0,HY4022,59.08806,-3.048625,,,
17357,21631,IPN0022761,Easthouses,Easthouses,0,LOC,Midlothian,Midlothian,Lothian,Midlothian,Scotland,,,Newbattle,LD,Lothian,DIST,S12000019,Midlothian,CA,,,,S08000024,Lothian,,,S99999999,,,,,S14000045,Midlothian,S15000001,Scotland,S23000009,Scotland,3344980665734.0,334498.0,665734.0,NT3465,55.88028,-3.048587,,,
1296,1709,IPN0001820,Ardcharnich,Ardcharnich,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Lochbroom,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2173860888607.0,217386.0,888607.0,NH1788,57.849535,-5.078762,,,
28244,35326,IPN0037113,Invergordon,Invergordon,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Invergordon,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000009,"Caithness, Sutherland and Easter Ross",S15000001,Scotland,S23000009,Scotland,2707770868577.0,270777.0,868577.0,NH7068,57.688388,-4.1692,,,
36515,45644,IPN0047939,Miltonofedradour,Milton of Edradour,0,LOC,Perthshire,Perth,Tayside,Perth and Kinross,Scotland,,,Highland,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000054,Perth and North Perthshire,S15000001,Scotland,S23000009,Scotland,2959090758157.0,295909.0,758157.0,NN9558,56.703468,-3.701654,,,
3240,4205,IPN0004431,Baudsofcullen,Bauds of Cullen,0,LOC,Banffshire,Banff,Grampian,Banffshire,Scotland,,,Buckie,LD,Grampian,DIST,S12000020,Moray,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000046,Moray,S15000001,Scotland,S23000009,Scotland,3471040866744.0,347104.0,866744.0,NJ4766,57.687393,-2.88882,,,
52605,65964,IPN0069289,Tarland,Tarland,0,LOC,Aberdeenshire,Aberdeen,Grampian,Aberdeenshire,Scotland,,,Deeside,LD,Grampian,DIST,S12000034,Aberdeenshire,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000058,West Aberdeenshire and Kincardine,S15000001,Scotland,S23000009,Scotland,3479920804517.0,347992.0,804517.0,NJ4704,57.128602,-2.860719,,,
45689,56858,IPN0059692,Roag,Roag,0,LOC,Inverness-shire,Inverness,Highland,Ross and Cromarty,Scotland,,,Skye,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,1270780844006.0,127078.0,844006.0,NG2744,57.404225,-6.545565,,,
31491,39456,IPN0041467,Linlathen,Linlathen,0,LOC,Angus,City of Dundee,Tayside,City of Dundee,Scotland,,,Dundee,LD,Tayside,DIST,S12000042,Dundee City,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000015,Dundee East,S15000001,Scotland,S23000009,Scotland,3419930732940.0,341993.0,732940.0,NO4132,56.484963,-2.943503,,,
9133,11563,IPN0012141,Camb,Camb,0,LOC,Shetland,Zetland,,Shetland,Scotland,,,Yell,LD,Shetland,IA,S12000027,Shetland Islands,CA,,,,S08000026,Shetland,,,S99999999,,,,,S14000051,Orkney and Shetland,S15000001,Scotland,S23000009,Scotland,4513121192493.0,451312.0,1192493.0,HU5192,60.612563,-1.064537,,,
677,887,IPN0000948,Aldochlay,Aldochlay,0,LOC,Dunbartonshire,Dunbarton,Strathclyde,Dunbartonshire,Scotland,,,Vale of Leven,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,S21000002,Loch Lomond and The Trossachs,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,2360260691304.0,236026.0,691304.0,NS3691,56.086319,-4.63686,,,
11344,14454,IPN0015207,Clachaig,Clachaig,0,LOC,Argyllshire,Argyll,Strathclyde,Argyll and Bute,Scotland,,,Cowal,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,2117840681552.0,211784.0,681552.0,NS1181,55.989894,-5.019041,,,
11463,14599,IPN0015360,Clashmore,Clashmore,0,LOC,Sutherland,Sutherland,Highland,Sutherland,Scotland,,,Assynt,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000009,"Caithness, Sutherland and Easter Ross",S15000001,Scotland,S23000009,Scotland,2031550931445.0,203155.0,931445.0,NC0331,58.227602,-5.353943,,,
53297,66867,IPN0070230,Themurray,The Murray,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Fourth,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000019,"East Kilbride, Strathaven and Lesmahagow",S15000001,Scotland,S23000009,Scotland,2631300653191.0,263130.0,653191.0,NS6353,55.752667,-4.182338,,,
46647,58095,IPN0060976,Saddell,Saddell,0,LOC,Argyllshire,Argyll,Strathclyde,Argyll and Bute,Scotland,,,Kintyre,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,1786090632058.0,178609.0,632058.0,NR7832,55.531883,-5.509692,,,
42192,52546,IPN0055191,Penninghame,Penninghame,0,LOC,Wigtownshire,Wigtown,Dumfries and Galloway,Wigtown,Scotland,,,Machars,LD,Dumfries and Galloway,DIST,S12000006,Dumfries and Galloway,CA,,,,S08000017,Dumfries and Galloway,,,S99999999,,,,,S14000013,Dumfries and Galloway,S15000001,Scotland,S23000009,Scotland,2382000569545.0,238200.0,569545.0,NX3869,54.994126,-4.530723,,,
34957,43632,IPN0045812,Mannofield,Mannofield,0,LOC,Aberdeenshire,City of Aberdeen,Grampian,City of Aberdeen,Scotland,,,Aberdeen,LD,Grampian,DIST,S12000033,Aberdeen City,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000002,Aberdeen South,S15000001,Scotland,S23000009,Scotland,3916550804501.0,391655.0,804501.0,NJ9104,57.131333,-2.139495,,,
1295,1708,IPN0001819,Ardbrecknish,Ardbrecknish,0,LOC,Argyllshire,Argyll,Strathclyde,Argyll and Bute,Scotland,,,South Lorn,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,2070100721134.0,207010.0,721134.0,NN0721,56.34309,-5.124179,,,
10098,12758,IPN0013409,Cearsiadair,Cearsiadair,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1340370920168.0,134037.0,920168.0,NB3420,58.090359,-6.514506,,,
15917,20048,IPN0021063,Doune,Doune,0,LOC,Perthshire,Perth,Central,Stirling and Falkirk,Scotland,,,Western,LD,Central,DIST,S12000030,Stirling,CA,,,,S08000019,Forth Valley,,,S99999999,,,,,S14000057,Stirling,S15000001,Scotland,S23000009,Scotland,2727180701561.0,272718.0,701561.0,NN7201,56.189597,-4.052566,,,
11371,14486,IPN0015241,Cladachiolaraigh,Cladach Iolaraigh,0,LOC,Inverness-shire,Inverness,,Western Isles,Scotland,,,North Uist,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,796360864546.0,79636.0,864546.0,NF7964,57.557013,-7.358718,,,
22649,28490,IPN0029994,Gretnagreen,Gretna Green,0,LOC,Dumfriesshire,Dumfries,Dumfries and Galloway,Dumfries,Scotland,,,Gretna,LD,Dumfries and Galloway,DIST,S12000006,Dumfries and Galloway,CA,,,,S08000017,Dumfries and Galloway,,,S99999999,,,,,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",S15000001,Scotland,S23000009,Scotland,3318490568077.0,331849.0,568077.0,NY3168,55.002581,-3.066977,,,
29547,37093,IPN0038971,Kirkabister,Kirkabister,0,LOC,Shetland,Zetland,,Shetland,Scotland,,,Nesting/Whalsay,LD,Shetland,IA,S12000027,Shetland Islands,CA,,,,S08000026,Shetland,,,S99999999,,,,,S14000051,Orkney and Shetland,S15000001,Scotland,S23000009,Scotland,4486731166400.0,448673.0,1166400.0,HU4866,60.378644,-1.119106,,,
24849,31155,IPN0032781,Heathryfold,Heathryfold,0,LOC,Aberdeenshire,City of Aberdeen,Grampian,City of Aberdeen,Scotland,,,Aberdeen,LD,Grampian,DIST,S12000033,Aberdeen City,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000001,Aberdeen North,S15000001,Scotland,S23000009,Scotland,3900180808745.0,390018.0,808745.0,NJ9008,57.169424,-2.166707,,,
11044,14108,IPN0014851,Chryston,Chryston,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Ninth,LD,Strathclyde,DIST,S12000050,North Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000011,"Coatbridge, Chryston and Bellshill",S15000001,Scotland,S23000009,Scotland,2688010670145.0,268801.0,670145.0,NS6870,55.906466,-4.100243,,,
316,408,IPN0000445,Achnamara,Achnamara,0,LOC,Argyllshire,Argyll,Strathclyde,Argyll and Bute,Scotland,,,Mid Argyll,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,1778870687131.0,177887.0,687131.0,NR7787,56.02543,-5.56599,,,
8833,11203,IPN0011755,Cadder,Cadder,0,LOC,Lanarkshire,City of Glasgow,Strathclyde,City of Glasgow,Scotland,,,Glasgow,LD,Strathclyde,DIST,S12000049,Glasgow City,CA,,,,S08000031,Greater Glasgow and Clyde,,,S99999999,,,,,S14000031,Glasgow North,S15000001,Scotland,S23000009,Scotland,2578580669584.0,257858.0,669584.0,NS5769,55.898321,-4.274842,,,
9425,11941,IPN0012556,Cardonald,Cardonald,0,LOC,Renfrewshire,City of Glasgow,Strathclyde,City of Glasgow,Scotland,,,Second,LD,Strathclyde,DIST,S12000049,Glasgow City,CA,,,,S08000031,Greater Glasgow and Clyde,,,S99999999,,,,,S14000035,Glasgow South West,S15000001,Scotland,S23000009,Scotland,2523350664214.0,252335.0,664214.0,NS5264,55.848451,-4.360161,,,
48030,59881,IPN0062867,Shewalton,Shewalton,0,LOC,Ayrshire,Ayr,Strathclyde,Ayrshire and Arran,Scotland,,,Ayr,LD,Strathclyde,DIST,S12000021,North Ayrshire,CA,,,,S08000015,Ayrshire and Arran,,,S99999999,,,,,S14000010,Central Ayrshire,S15000001,Scotland,S23000009,Scotland,2332040636432.0,233204.0,636432.0,NS3336,55.592862,-4.648438,,,
31073,38948,IPN0040926,Lennie,Lennie,0,LOC,Midlothian,City of Edinburgh,Lothian,City of Edinburgh,Scotland,,,Edinburgh,LD,Lothian,DIST,S12000036,City of Edinburgh,CA,,,,S08000024,Lothian,,,S99999999,,,,,S14000026,Edinburgh West,S15000001,Scotland,S23000009,Scotland,3165980674546.0,316598.0,674546.0,NT1674,55.956662,-3.337347,,,
14452,18294,IPN0019203,Currie,Currie,0,LOC,Midlothian,Midlothian,Lothian,City of Edinburgh,Scotland,,,Currie,LD,Lothian,DIST,S12000036,City of Edinburgh,CA,,,,S08000024,Lothian,,,S99999999,,,,,S14000025,Edinburgh South West,S15000001,Scotland,S23000009,Scotland,3179730667920.0,317973.0,667920.0,NT1767,55.897383,-3.313316,,,
16170,20364,IPN0021393,Drongan,Drongan,0,LOC,Ayrshire,Ayr,Strathclyde,Ayrshire and Arran,Scotland,,,Cumnock,LD,Strathclyde,DIST,S12000008,East Ayrshire,CA,,,,S08000015,Ayrshire and Arran,,,S99999999,,,,,S14000006,"Ayr, Carrick and Cumnock",S15000001,Scotland,S23000009,Scotland,2445300618470.0,244530.0,618470.0,NS4418,55.435368,-4.458822,,,
44458,105891,IPN0113604,Queensway,Queensway,0,LOC,Fife,Fife,Fife,Fife,Scotland,,,Kirkcaldy,LD,Fife,DIST,S12000047,Fife,CA,,,,S08000029,Fife,,,S99999999,,,,,S14000036,Glenrothes,S15000001,Scotland,S23000009,Scotland,3277750701262.0,327775.0,701262.0,NO2701,56.198455,-3.165607,,,
49955,62313,IPN0065442,Srathcarran,Srath Carran,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Lochcarron,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,1941870842153.0,194187.0,842153.0,NG9442,57.422951,-5.429361,,,
16487,20750,IPN0021812,Dunmore,Dunmore,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Muir of Ord,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2514990847428.0,251499.0,847428.0,NH5147,57.492645,-4.479279,,,
8943,11334,IPN0011905,Cairnbaan,Cairnbaan,0,LOC,Argyllshire,Argyll,Strathclyde,Argyll and Bute,Scotland,,,Mid Argyll,LD,Strathclyde,DIST,S12000035,Argyll and Bute,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000005,Argyll and Bute,S15000001,Scotland,S23000009,Scotland,1830820690749.0,183082.0,690749.0,NR8390,56.060256,-5.485726,,,
9159,11610,IPN0012196,Cambusnethan,Cambusnethan,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Seventh,LD,Strathclyde,DIST,S12000050,North Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000047,Motherwell and Wishaw,S15000001,Scotland,S23000009,Scotland,2814350655483.0,281435.0,655483.0,NS8155,55.778084,-3.891872,,,
31126,39023,IPN0041004,Lethendry,Lethendry,0,LOC,Morayshire,Moray,Highland,Inverness,Scotland,,,Cromdale,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,S21000003,Cairngorms,,S14000039,"Inverness, Nairn, Badenoch and Strathspey",S15000001,Scotland,S23000009,Scotland,3081720827920.0,308172.0,827920.0,NJ0827,57.332515,-3.526929,,,
1276,1690,IPN0001800,Arbuthnott,Arbuthnott,0,LOC,Kincardineshire,Kincardine,Grampian,Kincardineshire,Scotland,,,St Cyrus,LD,Grampian,DIST,S12000034,Aberdeenshire,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000058,West Aberdeenshire and Kincardine,S15000001,Scotland,S23000009,Scotland,3798300775386.0,379830.0,775386.0,NO7975,56.869423,-2.33249,,,
41550,51870,IPN0054485,Parkneuk,Parkneuk,0,LOC,Fife,Fife,Fife,Fife,Scotland,,,Dunfermline,LD,Fife,DIST,S12000047,Fife,CA,,,,S08000029,Fife,,,S99999999,,,,,S14000017,Dunfermline and West Fife,S15000001,Scotland,S23000009,Scotland,3075870688761.0,307587.0,688761.0,NT0788,56.082686,-3.48651,,,
965,53755,IPN0056439,Plockton,Am Ploc,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,South West,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,1794900833002.0,179490.0,833002.0,NG7933,57.334026,-5.665371,,,
19145,24248,IPN0025525,Findochty,Findochty,0,LOC,Banffshire,Banff,Grampian,Banffshire,Scotland,,,Buckie,LD,Grampian,DIST,S12000020,Moray,CA,,,,S08000020,Grampian,,,S99999999,,,,,S14000046,Moray,S15000001,Scotland,S23000009,Scotland,3463630867944.0,346363.0,867944.0,NJ4667,57.698082,-2.901513,,,
1914,2542,IPN0002691,Auchinairn,Auchinairn,0,LOC,Lanarkshire,Lanark,Strathclyde,Dunbartonshire,Scotland,,,Ninth,LD,Strathclyde,DIST,S12000045,East Dunbartonshire,CA,,,,S08000031,Greater Glasgow and Clyde,,,S99999999,,,,,S14000018,East Dunbartonshire,S15000001,Scotland,S23000009,Scotland,2618760669371.0,261876.0,669371.0,NS6169,55.897579,-4.210529,,,
866,1127,IPN0001205,Alness,Alness,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Invergordon,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000009,"Caithness, Sutherland and Easter Ross",S15000001,Scotland,S23000009,Scotland,2660030869523.0,266003.0,869523.0,NH6669,57.695482,-4.249734,,,
18178,23007,IPN0024220,Eskbank,Eskbank,0,LOC,Midlothian,Midlothian,Lothian,Midlothian,Scotland,,,Newbattle,LD,Lothian,DIST,S12000019,Midlothian,CA,,,,S08000024,Lothian,,,S99999999,,,,,S14000045,Midlothian,S15000001,Scotland,S23000009,Scotland,3324960666478.0,332496.0,666478.0,NT3266,55.886687,-3.080767,,,
2459,3236,IPN0003411,Balmaha,Balmaha,0,LOC,Stirlingshire,Stirling,Central,Stirling and Falkirk,Scotland,,,Western No 1,LD,Central,DIST,S12000030,Stirling,CA,,,,S08000019,Forth Valley,,,S99999999,,S21000002,Loch Lomond and The Trossachs,,S14000057,Stirling,S15000001,Scotland,S23000009,Scotland,2417900690890.0,241790.0,690890.0,NS4190,56.084546,-4.544085,,,
44985,55962,IPN0058757,Redgorton,Redgorton,0,LOC,Perthshire,Perth,Tayside,Perth and Kinross,Scotland,,,Perth,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000050,Ochil and South Perthshire,S15000001,Scotland,S23000009,Scotland,3088620728839.0,308862.0,728839.0,NO0828,56.44288,-3.479866,,,
